Series Name,Series Code,Time,Time Code,Middle East & North Africa [MEA],East Asia & Pacific [EAS],Europe & Central Asia [ECS],Sub-Saharan Africa [SSF],South Asia [SAS],North America [NAC],World [WLD],Latin America & Caribbean [LCN]
GDP per capita (current US$),NY.GDP.PCAP.CD,1972,YR1972,545.005362735606,415.161620681887,1836.28476320532,241.948800821899,122.746139971717,5997.4856317578,993.396685092097,732.689117589738
GDP per capita (current US$),NY.GDP.PCAP.CD,1973,YR1973,717.985414847397,534.887220512954,2313.89790453182,301.286368276033,137.157725692763,6640.80598782304,1188.36415882001,951.724249430662
GDP per capita (current US$),NY.GDP.PCAP.CD,1974,YR1974,1304.27478436469,603.416615136197,2594.77933511242,382.264623120625,162.375554725052,7206.81679668004,1343.7201302802,1205.20806203398
GDP per capita (current US$),NY.GDP.PCAP.CD,1975,YR1975,1402.16467684397,648.449137959133,3009.13609676547,410.554088588668,169.813559097071,7773.08468944994,1469.56023814252,1235.04720610348
GDP per capita (current US$),NY.GDP.PCAP.CD,1976,YR1976,1722.53406523369,700.974676638925,3105.68402823954,432.640571159142,161.905302836418,8613.02898924596,1569.56237126505,1323.84024136665
GDP per capita (current US$),NY.GDP.PCAP.CD,1977,YR1977,1945.30194382589,822.459404006061,3495.70282108796,462.85416053824,183.114196954556,9400.4658374197,1744.72381418322,1421.30724771686
GDP per capita (current US$),NY.GDP.PCAP.CD,1978,YR1978,2015.82056753579,1022.04443056996,4237.96579824499,497.930948162141,203.485049844429,10424.5290839884,2019.51541402937,1575.67878626026
GDP per capita (current US$),NY.GDP.PCAP.CD,1979,YR1979,2566.02201012308,1093.2835528435,5149.77745688779,581.885620396715,222.568211449007,11515.4560238073,2305.04965456974,1828.52300302275
GDP per capita (current US$),NY.GDP.PCAP.CD,1980,YR1980,3219.52798402264,1164.54248477454,5793.31613743522,712.660209927013,262.077252887994,12437.7765046382,2553.91136338301,2173.19124268643
GDP per capita (current US$),NY.GDP.PCAP.CD,1981,YR1981,3226.86119413724,1264.65001203674,5122.19350135659,965.340175930615,271.314700748083,13816.0793864134,2596.32476340683,2428.90298070928
GDP per capita (current US$),NY.GDP.PCAP.CD,1982,YR1982,3117.08655642668,1219.70307308271,4906.7169662401,863.488017830572,274.134279699762,14242.8454584504,2525.03388147752,2203.19596978731
GDP per capita (current US$),NY.GDP.PCAP.CD,1983,YR1983,3051.84664192032,1277.20748054819,4733.17076814793,731.069799559328,283.432353514784,15336.6302303339,2529.50513827959,1888.93104832491
GDP per capita (current US$),NY.GDP.PCAP.CD,1984,YR1984,3011.41016310893,1347.50248801464,4522.58762511328,620.771675465745,275.588605513277,16803.6898806646,2576.86668849615,1849.8017118808
GDP per capita (current US$),NY.GDP.PCAP.CD,1985,YR1985,2991.59208708236,1400.620996324,4652.54408460944,572.412628265551,292.809393059512,17833.0727412687,2663.65522486443,1889.49332361777
GDP per capita (current US$),NY.GDP.PCAP.CD,1986,YR1986,2977.2788462847,1801.38067817866,6311.94954839359,573.209742280261,303.084317479609,18619.663293275,3094.8171213978,1866.36771732446
